function	opt	time	error	minima	coordinates
ackley	2048	0.02286182403564453	0.00000000000238128	0.00000000000301315	0.00000000000075459,-0.00000000000038788,0.00000000000005787,-0.00000000000148721,-0.00000000000024433,-0.00000000000112430,0.00000000000009590,0.00000000000060739,0.00000000000097440,-0.00000000000029012
rosenbrock	8192	0.03360051345825196	0.00000007768781359	0.00000000000008627	0.99999999658843164,0.99999999588521438,1.00000000350271390,1.00000000178797110,0.99999999087877700,0.99999998407264212,0.99999998756999142,0.99999998527486189,0.99999996638687394,0.99999993555385358
rastrigin	8192	0.01812582397460938	1.72332065452091165	2.98487650250035230	-0.00000618774115655,0.99495614954986977,0.00000265922769702,0.00000748657055733,-0.00000340048234679,-0.00002615177927559,0.99496308130601063,-0.00000181673159367,-0.00000974734038610,0.99495970004524870
ackley	8192	0.05097472000122071	0.00000000000153624	0.00000000000194378	0.00000000000048429,-0.00000000000042976,-0.00000000000023295,0.00000000000060603,0.00000000000019514,0.00000000000017824,-0.00000000000013824,-0.00000000000066940,-0.00000000000094287,0.00000000000030529
rosenbrock	32768	0.04232844924926758	0.00000001262043043	0.00000000000003038	1.00000000077472140,1.00000000365215880,1.00000000670156863,1.00000000249696597,1.00000000378375131,1.00000000229562835,0.99999999764742276,1.00000000287156943,1.00000000134771660,1.00000000768162689
rastrigin	32768	0.02086816024780273	1.40708805778247448	1.98991753523368331	0.99495884719141459,0.00001195137429151,0.00000244390183152,0.00001440375946677,-0.00000522871867856,-0.00000453593667365,0.00000684947621687,0.99496416730229531,-0.00000019401594649,0.00000910460370629
ackley	32768	0.04317536163330078	0.00000000000105821	0.00000000000133982	-0.00000000000028631,-0.00000000000057083,-0.00000000000021012,0.00000000000037199,-0.00000000000018148,0.00000000000021444,0.00000000000057922,0.00000000000026540,0.00000000000018195,0.00000000000010733
rosenbrock	131072	0.10273519897460938	0.00000001262043043	0.00000000000003038	1.00000000077472140,1.00000000365215880,1.00000000670156863,1.00000000249696597,1.00000000378375131,1.00000000229562835,0.99999999764742276,1.00000000287156943,1.00000000134771660,1.00000000768162689
rastrigin	131072	0.04855168151855468	0.00002911784875422	0.00000000084784979	0.00000411865999859,-0.00000620391448196,-0.00000690978792699,-0.00001663857048286,-0.00000306746652567,-0.00000008750956322,-0.00000089085260089,0.00000299626581999,-0.00001972298636654,-0.00000772175995717
ackley	131072	0.10935382080078125	0.00000000000052178	0.00000000000065770	-0.00000000000008348,-0.00000000000026998,0.00000000000013165,-0.00000000000029896,0.00000000000001638,0.00000000000006098,-0.00000000000020612,0.00000000000014050,-0.00000000000002326,-0.00000000000013760
rosenbrock	524288	0.38838958740234375	0.00000000559733254	0.00000000000000959	0.99999999824879227,0.99999999878179713,0.99999999803903994,0.99999999748362900,0.99999999736065537,1.00000000210402096,1.00000000086221963,1.00000000182530568,0.99999999981588383,1.00000000104870912
rastrigin	524288	0.18675785827636718	0.00000984071531547	0.00000000009683809	0.00000623059777668,-0.00000207104093951,-0.00000377791875710,-0.00000067183095786,-0.00000165298007956,-0.00000312107516957,0.00000130832142486,0.00000241720442688,0.00000434955107209,-0.00000024384758092
ackley	524288	0.41629638671875002	0.00000000000051868	0.00000000000065414	0.00000000000006358,0.00000000000000552,-0.00000000000020586,-0.00000000000019463,0.00000000000025645,-0.00000000000004427,0.00000000000011790,0.00000000000015177,-0.00000000000004863,0.00000000000027869
rosenbrock	2097152	1.53933886718749990	0.00000000559733254	0.00000000000000959	0.99999999824879227,0.99999999878179713,0.99999999803903994,0.99999999748362900,0.99999999736065537,1.00000000210402096,1.00000000086221963,1.00000000182530568,0.99999999981588383,1.00000000104870912
rastrigin	2097152	0.74056146240234377	0.00000984071531547	0.00000000009683809	0.00000623059777668,-0.00000207104093951,-0.00000377791875710,-0.00000067183095786,-0.00000165298007956,-0.00000312107516957,0.00000130832142486,0.00000241720442688,0.00000434955107209,-0.00000024384758092
ackley	2097152	1.65118261718749992	0.00000000000013899	0.00000000000017453	0.00000000000005479,0.00000000000003253,0.00000000000001294,0.00000000000003417,-0.00000000000001254,0.00000000000009939,0.00000000000003690,0.00000000000001687,-0.00000000000003197,-0.00000000000003489
rosenbrock	8388608	6.51797949218750006	0.00000012669347720	0.00000000000001855	1.00000000009783330,0.99999999870666689,0.99999999741473533,0.99999999324581690,0.99999999691974795,0.99999999491927261,0.99999998887510144,0.99999997229633575,0.99999994504275547,0.99999989022570679
rastrigin	8388608	3.06338354492187515	1.72331873139006886	2.98487643067276665	-0.99495855509543363,0.00000002829135718,-0.00000001418834780,0.00000000333674506,0.00000002097649599,-0.99495850557879273,0.00000003149345211,-0.99495853972851334,0.00000000982336215,-0.00000002049408985
ackley	8388608	5.16698242187499979	0.00000000000159021	0.00000000000201128	0.00000000000016858,0.00000000000108610,-0.00000000000032341,-0.00000000000066376,-0.00000000000027440,-0.00000000000017279,-0.00000000000008197,-0.00000000000022125,-0.00000000000036741,0.00000000000069264
rosenbrock	33554432	26.36227929687499838	0.00000001027006272	0.00000000000000758	0.99999999999504852,0.99999999915290338,0.99999999987676058,1.00000000277711942,1.00000000170588876,1.00000000330681482,1.00000000035281844,1.00000000177206094,1.00000000285892021,1.00000000847029069
rastrigin	33554432	12.32546679687500024	1.40708403911545488	1.98991755089559952	0.99495855247759557,-0.00000012134474022,-0.00000016036184176,-0.00000001062790668,-0.99495877903793040,-0.00000047941492315,-0.00000005753588638,-0.00000038730938767,-0.00000022012789237,-0.00000017094598531
