fun	N	idx	status	bfgs_iter	pso_iter	time	error	fval	norm		coord_0	coord_1	coord_2	coord_3	coord_4	coord_5	coord_6	coord_7	coord_8	coord_9
rastrigin	131072	76417	0	0	3	106.175	3.006486e+00	2.999027e+01	1.086870e+02	-1.225900e-03	1.252222e+00	-9.904568e-01	8.990760e-01	-8.419072e-02	8.435808e-03	-1.376478e-02	-1.248670e-01	-1.002004e+00	2.157452e+00
ackley	131072	14714	0	0	3	63.1407	5.137483e-01	1.614132e+00	3.764338e+00	4.251114e-02	3.685498e-03	-2.192803e-01	-2.097314e-01	-9.209409e-02	-9.304478e-02	-1.794562e-01	-2.407137e-01	-1.763769e-02	2.498962e-01
rosenbrock	131072	83492	0	0	4	81.6224	2.765391e+00	4.857441e+01	1.105159e+02	-6.538922e-02	-9.709810e-02	1.202333e-01	3.459665e-01	5.051257e-01	2.268259e-01	-4.210322e-02	4.449144e-02	8.535521e-02	3.452414e-01
rastrigin	131072	50974	0	0	4	200.313	2.415038e+00	2.711891e+01	1.139996e+02	-1.019769e+00	-9.856777e-01	8.835999e-02	-1.001441e+00	6.360824e-02	-1.172798e+00	-1.084811e-01	-8.814224e-01	8.910030e-02	7.963140e-01
ackley	131072	14714	0	0	4	70.5662	5.137483e-01	1.614132e+00	3.764338e+00	4.251114e-02	3.685498e-03	-2.192803e-01	-2.097314e-01	-9.209409e-02	-9.304478e-02	-1.794562e-01	-2.407137e-01	-1.763769e-02	2.498962e-01
rosenbrock	131072	14432	0	0	5	84.8656	2.622704e+00	3.475520e+01	1.188793e+02	9.967121e-01	8.958483e-01	6.788155e-01	3.090729e-01	8.672204e-02	4.323687e-04	-2.171888e-01	-3.054501e-01	3.501018e-01	8.029945e-02
rastrigin	131072	50974	0	0	5	193.43	2.415038e+00	2.711891e+01	1.139996e+02	-1.019769e+00	-9.856777e-01	8.835999e-02	-1.001441e+00	6.360824e-02	-1.172798e+00	-1.084811e-01	-8.814224e-01	8.910030e-02	7.963140e-01
ackley	131072	18655	0	0	5	96.0259	2.945057e-01	7.789768e-01	3.686732e+00	1.424941e-01	-5.168514e-02	-5.379871e-02	6.490144e-02	1.422789e-01	-1.181507e-01	-8.124894e-02	-9.455087e-02	7.140354e-03	8.280137e-02
rosenbrock	131072	70584	0	0	10	168.997	3.242374e+00	1.566778e+01	6.162292e+01	-5.726988e-01	4.887275e-01	2.638823e-01	7.004061e-02	5.500040e-03	6.021403e-02	5.122643e-02	-1.047176e-01	-7.900746e-02	-1.020246e-01
rastrigin	131072	119455	0	0	10	354.774	3.560807e+00	1.831935e+01	6.313357e+01	-1.006058e+00	-2.953642e+00	5.019647e-02	-1.010244e+00	-2.529079e-02	-9.501443e-01	-9.036406e-02	-9.976885e-01	-5.212062e-02	1.019765e-01
ackley	131072	63971	0	0	10	140.547	2.293401e-01	5.468595e-01	3.315300e+00	-4.824561e-02	2.685414e-02	4.063464e-02	-1.364281e-01	-5.706521e-02	-7.857076e-02	-8.815709e-02	-2.139593e-02	-2.231009e-02	1.054861e-01
rosenbrock	131072	80751	0	0	30	1108.88	2.467662e+00	5.601616e+00	2.563218e+01	8.998274e-01	8.347696e-01	6.451950e-01	3.969873e-01	1.417731e-01	4.129754e-02	1.630146e-02	6.425621e-03	2.048258e-02	3.737921e-03
rastrigin	131072	68763	0	0	30	647.044	1.371220e+00	3.534646e+00	3.450718e+01	1.752030e-02	6.875538e-04	-3.624129e-03	9.760135e-01	2.519597e-02	1.856572e-02	4.659044e-04	2.225419e-02	-6.692293e-02	9.598784e-01
ackley	131072	49466	0	0	30	519.476	1.734752e-02	2.354463e-02	1.449425e+00	2.286638e-03	3.436400e-03	-1.359121e-03	7.483150e-03	-7.902033e-04	1.625348e-03	-3.730522e-03	1.347345e-02	-1.832976e-03	4.896680e-03
rosenbrock	131072	27964	0	0	0	28.0792	4.570560e+00	1.164964e+03	1.650416e+03	7.458599e-01	-5.475493e-01	1.163348e+00	7.396055e-01	1.200287e+00	5.761572e-01	1.039847e-01	-6.651152e-01	1.497190e+00	4.780692e+00
rastrigin	131072	59250	0	0	0	18.8068	5.889048e+00	6.284585e+01	1.210454e+02	9.520469e-01	-2.818569e+00	-2.122851e+00	-1.803675e+00	1.987446e+00	-2.036919e+00	2.251927e+00	1.062183e+00	-5.172947e-02	-1.941482e+00
ackley	131072	48376	0	0	0	20.2299	2.419086e+00	4.907828e+00	1.270392e+00	-3.399008e-01	1.498400e+00	-6.010754e-01	5.781125e-01	-2.616880e-01	-4.645353e-01	-4.659356e-01	6.939953e-01	8.091487e-01	-1.076110e+00
