fun	N	iter	pso_iter	time	error	fnval	coordinates
rastrigin	335544320	10000	2	43.3482617187500025579538487	0.0000000000000000000000000	0.0000000000000000000000000	0.0000000185684124340394785,-0.0000000073647514667302518,0.0000000077208155011408599,-0.0000000165256628837262987,-0.0000000214804244957775498
rastrigin	335544320	10000	3	57.7721953125000027284841053	0.0000000000000000000000000	0.0000000000000000000000000	0.0000000039579590346274993,0.0000000052178478715139084,0.0000000032718723762690453,0.0000000015131464316326857,0.0000000012861001507069288
rastrigin	335544320	10000	4	72.0590859375000007958078641	0.0000000000000000000000000	0.0000000000000000000000000	0.0000000001142492235664322,0.0000000168681693655174214,0.0000000021600372816828607,0.0000000016821097349354686,0.0000000007947182057059326
rastrigin	335544320	10000	5	86.5973906250000027284841053	0.0000000000000000000000000	0.0000000000000000000000000	0.0000000006919756565031089,0.0000000271962909258741592,-0.0000000129381247844822438,0.0000000047785036996415809,-0.0000000166948531000236336
rastrigin	335544320	10000	6	100.6981562499999967030817061	0.0000000000000000000000000	0.0000000000000000000000000	0.0000000076690188427681362,-0.0000000003040469172006094,-0.0000000075220840205485889,-0.0000000265465027874712840,-0.0000000090750891889961310
rastrigin	335544320	10000	7	115.2849921874999949977791402	0.0000000000000000000000000	0.0000000000000000000000000	-0.0000000030817765839309436,0.0000000041758390108411966,-0.0000000010450475617523620,0.0000000094684519441254594,0.0000000060470920775922057
rastrigin	335544320	10000	8	129.3268906250000043200998334	0.0000000000000000000000000	0.0000000000000000000000000	0.0000000107743115706872348,0.0000000047644731948257545,-0.0000000370645506183632512,-0.0000000108114471202393810,-0.0000000034987291113128282
rastrigin	335544320	10000	9	144.0829999999999984083842719	0.0000000000000000000000000	0.0000000000000000000000000	0.0000000072686997027078277,0.0000000032773534359148590,0.0000000029168036430819974,0.0000000181624501468662406,-0.0000000172176301842900405
rastrigin	335544320	10000	10	157.9067968749999977262632456	0.0000000000000000000000000	0.0000000000000000000000000	0.0000000014840523199862490,-0.0000000010648238297440086,0.0000000056702426406889995,-0.0000000046688897321119057,-0.0000000014490929965845466
ackley	335544320	10000	0	9.0870947265624995026200850	0.1116558497059370047566063	0.1116558497059370047566063	0.0017037541457326655508497,0.0411965064724416005215168,-0.0188236162727057482202397,-0.0170432927069217032833848,-0.0031108056786154393569266
ackley	335544320	10000	1	28.4389277343749995452526491	0.0007306230930237411769212	0.0007306230930237411769212	-0.0001169331335296127684364,-0.0002166844110372547166192,0.0002787434321139789549296,-0.0001643310963034436903828,-0.0000260977664693514657852
ackley	335544320	10000	2	42.8620507812499980104803399	0.0006782651133545591903840	0.0006782651133545591903840	-0.0000808552868174993409622,-0.0001817994451663910125683,0.0002464667478285486332604,-0.0001768555362092196988916,0.0001072649458979237167139
ackley	335544320	10000	3	57.8195976562499964757080306	0.0001240733073086808246899	0.0001240733073086808246899	0.0000265702302379347944997,0.0000131483342846043446954,0.0000430892489610503636637,0.0000415762045158158592782,0.0000185092852146401018573
ackley	335544320	10000	4	72.2823593749999986357579473	0.0001619340886844788940380	0.0001619340886844788940380	0.0000028889010259469957524,-0.0000785596828779026802765,0.0000245718691107493981312,-0.0000253640288195017266212,0.0000275440674713367952364
ackley	335544320	10000	5	86.5975468750000061390892370	0.0000463549892661951901118	0.0000463549892661951901118	0.0000085070739499618987548,-0.0000177499142442454054403,0.0000111781149299853441262,0.0000117007880086833298237,-0.0000046903868833842200510
