OptIndex Step X_0 X_1
30 1 3.32642 -1.48336
30 2 3.33509 -1.77706
30 3 3.40494 -1.55089
30 4 3.42966 -1.80142
30 5 3.59942 -1.86183
30 6 3.58319 -1.83912
30 7 3.58447 -1.85115
30 8 3.58414 -1.8478
30 9 3.58414 -1.8478
30 10 3.58413 -1.84792
30 11 3.58423 -1.84805
30 12 3.58441 -1.84804
30 13 3.58442 -1.84815
30 14 3.58443 -1.84813
31 0 3.18253 0.818461
31 1 3.18759 2.02063
31 2 3.18759 2.02063
31 3 3.18608 1.83629
31 4 3.18553 1.88332
31 5 3.18537 1.87506
31 6 3.1851 1.8879
31 7 3.18376 1.85765
31 8 3.18181 1.90888
31 9 3.17583 1.85648
31 10 3.17276 1.90453
31 11 3.11692 1.78422
31 12 3.1249 1.86469
31 13 3.0668 1.89847
31 14 3.00189 2.00556
32 0 -2.88402 -2.39131
32 1 -2.83671 -2.50598
32 2 -2.79509 -2.66968
32 3 -2.79509 -2.66968
32 4 -2.79509 -2.66968
32 5 -2.79509 -2.66968
32 6 -2.79509 -2.66968
32 7 -2.79509 -2.66968
32 8 -2.79509 -2.66968
32 9 -2.79509 -2.66968
32 10 -2.79509 -2.66968
32 11 -2.79509 -2.66968
32 12 -2.79509 -2.66968
32 13 -2.79509 -2.66968
32 14 -2.79509 -2.66968
33 0 3.65552 -2.41486
33 1 3.6215 -2.41378
33 2 3.60199 -2.19803
33 3 3.58377 -1.9484
33 4 3.58442 -1.86926
33 5 3.58557 -1.85049
33 6 3.58505 -1.84769
33 7 3.58448 -1.84859
33 8 3.58453 -1.84856
33 9 3.58453 -1.84853
33 10 3.58446 -1.84814
33 11 3.58444 -1.84815
33 12 3.58443 -1.84814
33 13 3.58443 -1.84813
33 14 3.58443 -1.84813
34 0 3.68553 -1.99336
34 1 3.57771 -1.94855
34 2 3.57771 -1.94855
34 3 3.58224 -1.90874
34 4 3.59345 -1.85503
34 5 3.58774 -1.84229
34 6 3.58395 -1.8497
34 7 3.58467 -1.84937
34 8 3.58461 -1.84919
34 9 3.58431 -1.84827
34 10 3.58434 -1.84808
34 11 3.58434 -1.84809
34 12 3.58437 -1.84811
34 13 3.58442 -1.84812
34 14 3.58443 -1.84813
35 0 -3.08869 -0.162542
35 1 -3.08167 -2.78575
35 2 -3.08167 -2.78575
35 3 -3.08167 -2.78575
35 4 -2.92468 2.43909
35 5 -3.07447 3.07246
35 6 -3.07874 3.10823
35 7 -3.07874 3.10823
35 8 -3.07874 3.10823
35 9 -3.07874 3.10823
35 10 -3.07874 3.10823
35 11 -3.07874 3.10823
35 12 -3.07874 3.10823
35 13 -3.07874 3.10823
35 14 -3.07874 3.10823
36 0 3.32255 -1.79609
36 1 3.4755 -1.6828
36 2 3.4755 -1.6828
36 3 3.47004 -1.78032
36 4 3.47004 -1.78032
36 5 3.47705 -1.86434
36 6 3.50937 -1.84803
36 7 3.58003 -1.79222
36 8 3.57186 -1.80495
36 9 3.5697 -1.80742
36 10 3.5697 -1.80742
36 11 3.5697 -1.80742
36 12 3.5697 -1.80742
36 13 3.5697 -1.80742
36 14 3.5697 -1.80742
37 0 3.5985 -2.51439
37 1 3.6702 -1.95604
37 2 3.58538 -1.8247
37 3 3.58538 -1.8247
37 4 3.58538 -1.8247
37 5 3.58538 -1.8247
37 6 3.58348 -1.82442
37 7 3.58396 -1.84968
37 8 3.58442 -1.8484
37 9 3.5845 -1.84829
37 10 3.5845 -1.84829
37 11 3.5845 -1.84829
37 12 3.5845 -1.84829
37 13 3.5845 -1.84829
37 14 3.5845 -1.84829
38 0 -2.52742 1.92133
38 1 -2.52906 3.33861
38 2 -2.66212 3.05341
38 3 -2.68015 3.08472
38 4 -2.79446 3.13213
38 5 -2.80501 3.13373
38 6 -2.80531 3.13197
38 7 -2.80528 3.13135
38 8 -2.80511 3.13131
38 9 -2.80512 3.13131
38 10 -2.80512 3.13131
38 11 -2.80512 3.13131
38 12 -2.80512 3.13131
38 13 -2.80512 3.13131
38 14 -2.80512 3.13131
39 0 -1.71004 3.55296
39 1 -2.61429 3.72375
39 2 -2.61429 3.72375
39 3 -2.87077 3.72013
39 4 -2.73086 3.70411
39 5 -2.73086 3.70411
39 6 -2.84939 3.70513
39 7 -2.76811 3.67474
39 8 -2.76811 3.67474
39 9 -2.76811 3.67474
39 10 -2.76811 3.67474
39 11 -2.76811 3.67474
39 12 -2.76811 3.67474
39 13 -2.76811 3.67474
39 14 -2.76811 3.67474
40 0 -2.44469 2.31762
40 1 -2.44469 2.31762
40 2 -2.05882 2.63585
40 3 -2.1581 2.57074
40 4 -2.31907 2.51859
40 5 -2.98566 2.79464
40 6 -2.7519 3.14752
40 7 -2.78687 3.11764
40 8 -2.78881 3.11606
40 9 -2.78955 3.11595
40 10 -2.80595 3.12264
