OptIndex Step X_0 X_1
23 13 6.44332 16.7785
23 14 6.44332 16.7785
24 0 5.0922 5.86467
24 1 8.3501 12.7309
24 2 10.1084 15.2506
24 3 9.75589 15.0152
24 4 9.46061 14.8301
24 5 9.3747 14.8708
24 6 9.0093 15.2969
24 7 8.44512 15.6834
24 8 8.42965 15.6742
24 9 8.42926 15.6709
24 10 8.4346 15.6553
24 11 8.44779 15.6507
24 12 8.45707 15.6493
24 13 8.45688 15.6502
24 14 8.457 15.6509
25 0 -2.20377 0.49341
25 1 9.72133 7.85458
25 2 10.3386 12.8883
25 3 10.1393 15.645
25 4 9.31111 15.5359
25 5 8.6041 15.4128
25 6 8.49967 15.6086
25 7 8.45445 15.6495
25 8 8.45837 15.6503
25 9 8.45732 15.6504
25 10 8.45686 15.6508
25 11 8.457 15.6509
25 12 8.45701 15.6509
25 13 8.45701 15.6509
25 14 8.45701 15.6509
26 0 -2.06127 3.01073
26 1 13.2947 20.9708
26 2 7.31809 15.9681
26 3 7.58727 16.243
26 4 7.5322 16.1849
26 5 7.53035 16.176
26 6 7.73746 15.8447
26 7 8.39321 15.6014
26 8 8.47689 15.6186
26 9 8.46173 15.6376
26 10 8.45779 15.6497
26 11 8.45682 15.6509
26 12 8.45691 15.6509
26 13 8.45693 15.6509
26 14 8.45693 15.6509
27 0 -0.429921 3.97686
27 1 9.26414 16.2878
27 2 8.43064 15.5818
27 3 8.48241 15.6343
27 4 8.48329 15.6352
27 5 8.48342 15.6356
27 6 8.47967 15.6435
27 7 8.46061 15.6514
27 8 8.45669 15.6518
27 9 8.45705 15.6513
27 10 8.45688 15.651
27 11 8.45687 15.651
27 12 8.45689 15.6509
27 13 8.45692 15.6509
27 14 8.45694 15.6509
28 0 0.00857469 4.40976
28 1 8.39029 15.3094
28 2 8.6725 15.5768
28 3 8.63614 15.5395
28 4 8.63897 15.543
28 5 8.64084 15.5537
28 6 8.58592 15.6193
28 7 8.47068 15.6558
28 8 8.45472 15.6556
28 9 8.458 15.6528
28 10 8.45652 15.6517
28 11 8.4562 15.6514
28 12 8.4562 15.6514
28 13 8.4562 15.6514
28 14 8.4562 15.6514
